station_id,station_name,is_new_in_post,is_removed_in_post,is_interchange,station_codes,line_names,lat,lon,betweenness_pre,betweenness_post,betweenness_delta,closeness_pre,closeness_post,closeness_delta,out_degree_pre,out_degree_post,in_degree_pre,in_degree_post,betweenness_delta_rank_desc,closeness_delta_rank_desc
EW28,Pioneer,False,False,False,EW28,East-West Line,1.3375881274629595,103.69714241314384,0.06842473,0.06704981,-0.00137492,0.03268124,0.0326503,-3.094e-05,2,2,2,2,108,117
EW6,Kembangan,False,False,False,EW6,East-West Line,1.321037934168733,103.9129201840768,0.07575001,0.07436143,-0.00138858,0.05632685,0.05650818,0.00018133,2,2,2,2,110,67
DT25,Mattar,False,False,False,DT25,Downtown Line,1.3268574681294334,103.88324022727885,0.03646822,0.03496967,-0.00149855,0.05971405,0.05986788,0.00015383,2,2,2,2,111,70
TE7,Bright Hill,False,False,False,TE7,Thomson-East Coast Line,1.363166926474025,103.8328688965173,0.09811041,0.09656928,-0.00154113,0.0502477,0.05015566,-9.204e-05,2,2,2,2,112,129
DT28,Kaki Bukit,False,False,False,DT28,Downtown Line,1.3351165483561398,103.90927568744428,0.0798788,0.07832056,-0.00155824,0.05306428,0.05317198,0.0001077,2,2,2,2,113,80
EW7,Eunos,False,False,False,EW7,East-West Line,1.3195365796568062,103.90289713414593,0.08816968,0.08655811,-0.00161157,0.05921601,0.05942623,0.00021022,2,2,2,2,114,65
TE23,Tanjong Rhu,False,False,False,TE23,Thomson-East Coast Line,1.2973297672846043,103.8735402960179,0.08151034,0.07988506,-0.00162528,0.05017668,0.0506993,0.00052262,2,2,2,2,115,37
DT7,Sixth Avenue,False,False,False,DT7,Downtown Line,1.3311508856909509,103.79670713017461,0.08151034,0.07988506,-0.00162528,0.05848435,0.05858586,0.00010151,2,2,2,2,117,81
EW27,Boon Lay,False,False,False,EW27,East-West Line,1.3384759405295732,103.70571801969106,0.08151034,0.07988506,-0.00162528,0.0336972,0.03366612,-3.108e-05,2,2,2,2,116,118
TE8,Upper Thomson,False,False,False,TE8,Thomson-East Coast Line,1.354527123585599,103.83282056841342,0.10969767,0.10796775,-0.00172992,0.05472062,0.05463451,-8.611e-05,2,2,2,2,118,127
DT27,Ubi,False,False,False,DT27,Downtown Line,1.3298907994822522,103.89923113088656,0.09236507,0.0905811,-0.00178397,0.05858086,0.05872823,0.00014737,2,2,2,2,119,71
TE22,Gardens by the Bay,False,False,False,TE22,Thomson-East Coast Line,1.2791668064192445,103.86790320784318,0.09439616,0.09252874,-0.00186742,0.0613656,0.06217839,0.00081279,2,2,2,2,120,10
DT8,Tan Kah Kee,False,False,False,DT8,Downtown Line,1.3257396139528346,103.80779999638969,0.09439616,0.09252874,-0.00186742,0.06543779,0.06558118,0.00014339,2,2,2,2,122,73
EW26,Lakeside,False,False,False,EW26,East-West Line,1.3441229895834477,103.72107892304635,0.09439616,0.09252874,-0.00186742,0.03710478,0.03707492,-2.986e-05,2,2,2,2,121,116
EW25,Chinese Garden,False,False,False,EW25,East-West Line,1.341995553045827,103.73278503871254,0.10708221,0.10498084,-0.00210137,0.03974251,0.03971515,-2.736e-05,2,2,2,2,123,114
